Train: [1][0/78], lr: 0.00030	Time 1.236 (1.236)	Data 1.078 (1.078)	Prec@1 6.250 (6.250)	Prec@1 0.000 (0.000)	Prec@5 56.250 (56.250)	Prec@5 0.000 (0.000)	Loss 2.0796 (2.0796)   loss_verb 2.0796   loss_noun 0.0000	
Train: [1][20/78], lr: 0.00030	Time 0.037 (0.088)	Data 0.000 (0.062)	Prec@1 15.625 (25.000)	Prec@1 0.000 (0.000)	Prec@5 84.375 (78.720)	Prec@5 0.000 (0.000)	Loss 2.0766 (2.0780)   loss_verb 2.0780   loss_noun 0.0000	
Train: [1][40/78], lr: 0.00030	Time 0.020 (0.060)	Data 0.002 (0.038)	Prec@1 28.125 (32.470)	Prec@1 0.000 (0.000)	Prec@5 87.500 (82.698)	Prec@5 0.000 (0.000)	Loss 2.0745 (2.0756)   loss_verb 2.0756   loss_noun 0.0000	
Train: [2][0/78], lr: 0.00030	Time 0.669 (0.669)	Data 0.650 (0.650)	Prec@1 50.000 (50.000)	Prec@1 0.000 (0.000)	Prec@5 87.500 (87.500)	Prec@5 0.000 (0.000)	Loss 2.0668 (2.0668)   loss_verb 2.0668   loss_noun 0.0000	
Train: [2][20/78], lr: 0.00030	Time 0.027 (0.051)	Data 0.019 (0.040)	Prec@1 43.750 (50.149)	Prec@1 0.000 (0.000)	Prec@5 93.750 (87.351)	Prec@5 0.000 (0.000)	Loss 2.0617 (2.0614)   loss_verb 2.0614   loss_noun 0.0000	
Train: [2][40/78], lr: 0.00029	Time 0.027 (0.036)	Data 0.018 (0.024)	Prec@1 53.125 (47.713)	Prec@1 0.000 (0.000)	Prec@5 90.625 (86.966)	Prec@5 0.000 (0.000)	Loss 2.0427 (2.0584)   loss_verb 2.0584   loss_noun 0.0000	
Train: [3][0/78], lr: 0.00029	Time 0.667 (0.667)	Data 0.643 (0.643)	Prec@1 34.375 (34.375)	Prec@1 0.000 (0.000)	Prec@5 87.500 (87.500)	Prec@5 0.000 (0.000)	Loss 2.0348 (2.0348)   loss_verb 2.0348   loss_noun 0.0000	
Train: [3][20/78], lr: 0.00029	Time 0.020 (0.051)	Data 0.005 (0.038)	Prec@1 46.875 (45.238)	Prec@1 0.000 (0.000)	Prec@5 78.125 (87.351)	Prec@5 0.000 (0.000)	Loss 2.0289 (2.0279)   loss_verb 2.0279   loss_noun 0.0000	
Train: [3][40/78], lr: 0.00029	Time 0.019 (0.036)	Data 0.009 (0.024)	Prec@1 40.625 (43.674)	Prec@1 0.000 (0.000)	Prec@5 87.500 (87.271)	Prec@5 0.000 (0.000)	Loss 2.0013 (2.0203)   loss_verb 2.0203   loss_noun 0.0000	
Train: [4][0/78], lr: 0.00029	Time 0.669 (0.669)	Data 0.633 (0.633)	Prec@1 21.875 (21.875)	Prec@1 0.000 (0.000)	Prec@5 78.125 (78.125)	Prec@5 0.000 (0.000)	Loss 2.0144 (2.0144)   loss_verb 2.0144   loss_noun 0.0000	
Train: [4][20/78], lr: 0.00029	Time 0.023 (0.051)	Data 0.015 (0.038)	Prec@1 46.875 (40.179)	Prec@1 0.000 (0.000)	Prec@5 96.875 (85.417)	Prec@5 0.000 (0.000)	Loss 1.8796 (1.9509)   loss_verb 1.9509   loss_noun 0.0000	
Train: [4][40/78], lr: 0.00029	Time 0.034 (0.036)	Data 0.010 (0.023)	Prec@1 25.000 (40.701)	Prec@1 0.000 (0.000)	Prec@5 81.250 (86.357)	Prec@5 0.000 (0.000)	Loss 1.8882 (1.9200)   loss_verb 1.9200   loss_noun 0.0000	
Train: [5][0/78], lr: 0.00029	Time 0.684 (0.684)	Data 0.670 (0.670)	Prec@1 21.875 (21.875)	Prec@1 0.000 (0.000)	Prec@5 71.875 (71.875)	Prec@5 0.000 (0.000)	Loss 2.0389 (2.0389)   loss_verb 2.0389   loss_noun 0.0000	
Train: [5][20/78], lr: 0.00029	Time 0.027 (0.052)	Data 0.014 (0.039)	Prec@1 37.500 (32.887)	Prec@1 0.000 (0.000)	Prec@5 81.250 (85.863)	Prec@5 0.000 (0.000)	Loss 1.8586 (1.8562)   loss_verb 1.8562   loss_noun 0.0000	
Train: [5][40/78], lr: 0.00029	Time 0.021 (0.036)	Data 0.012 (0.024)	Prec@1 56.250 (34.680)	Prec@1 0.000 (0.000)	Prec@5 100.000 (86.357)	Prec@5 0.000 (0.000)	Loss 1.5980 (1.8265)   loss_verb 1.8265   loss_noun 0.0000	
Train: [6][0/78], lr: 0.00029	Time 0.699 (0.699)	Data 0.678 (0.678)	Prec@1 53.125 (53.125)	Prec@1 0.000 (0.000)	Prec@5 87.500 (87.500)	Prec@5 0.000 (0.000)	Loss 1.6130 (1.6130)   loss_verb 1.6130   loss_noun 0.0000	
Train: [6][20/78], lr: 0.00029	Time 0.012 (0.053)	Data 0.001 (0.039)	Prec@1 37.500 (43.155)	Prec@1 0.000 (0.000)	Prec@5 96.875 (85.565)	Prec@5 0.000 (0.000)	Loss 1.7432 (1.7547)   loss_verb 1.7547   loss_noun 0.0000	
Train: [6][40/78], lr: 0.00029	Time 0.021 (0.037)	Data 0.010 (0.024)	Prec@1 34.375 (44.436)	Prec@1 0.000 (0.000)	Prec@5 81.250 (85.976)	Prec@5 0.000 (0.000)	Loss 1.8700 (1.7494)   loss_verb 1.7494   loss_noun 0.0000	
Train: [7][0/78], lr: 0.00029	Time 0.674 (0.674)	Data 0.658 (0.658)	Prec@1 50.000 (50.000)	Prec@1 0.000 (0.000)	Prec@5 90.625 (90.625)	Prec@5 0.000 (0.000)	Loss 1.6479 (1.6479)   loss_verb 1.6479   loss_noun 0.0000	
Train: [7][20/78], lr: 0.00028	Time 0.020 (0.052)	Data 0.008 (0.039)	Prec@1 46.875 (53.571)	Prec@1 0.000 (0.000)	Prec@5 87.500 (86.458)	Prec@5 0.000 (0.000)	Loss 1.7248 (1.6382)   loss_verb 1.6382   loss_noun 0.0000	
Train: [7][40/78], lr: 0.00028	Time 0.017 (0.036)	Data 0.000 (0.023)	Prec@1 43.750 (52.973)	Prec@1 0.000 (0.000)	Prec@5 75.000 (86.738)	Prec@5 0.000 (0.000)	Loss 1.7635 (1.6204)   loss_verb 1.6204   loss_noun 0.0000	
Train: [8][0/78], lr: 0.00028	Time 0.682 (0.682)	Data 0.661 (0.661)	Prec@1 40.625 (40.625)	Prec@1 0.000 (0.000)	Prec@5 81.250 (81.250)	Prec@5 0.000 (0.000)	Loss 1.8039 (1.8039)   loss_verb 1.8039   loss_noun 0.0000	
